keyword,intent,business_potential,difficulty,ai_trap,tool_keyword,bid_score
kickboxing rounds for beginners,mixed,1,18,False,False,60
mma timer,mixed,1,18,False,False,60
free interval timer,mixed,1,19,False,False,60
random timer,mixed,1,19,False,False,60
no ads random timer,mixed,1,21,False,False,52
no ads boxing drills,mixed,1,23,False,False,52
free bjj rounds,mixed,1,24,False,False,52
free random timer,mixed,1,24,False,False,52
home workout timer,mixed,1,24,False,False,52
free hiit timer,mixed,1,28,False,False,52
free kickboxing rounds,mixed,1,29,False,False,52
mental readiness for beginners,mixed,1,29,False,False,52
no ads kickboxing rounds,mixed,1,29,False,False,52
focus drills for beginners,mixed,1,30,False,False,52
no ads mma timer,mixed,1,30,False,False,52
free home workout timer,mixed,1,31,False,False,52
free combat conditioning,mixed,1,32,False,False,52
free focus drills,mixed,1,32,False,False,52
mma timer for beginners,mixed,1,33,False,False,52
free mental readiness,mixed,1,34,False,False,52
muay thai timer for beginners,mixed,1,34,False,False,52
no ads combat conditioning,mixed,1,35,False,False,52
mental readiness,mixed,1,36,False,False,44
random timer for beginners,mixed,1,36,False,False,44
bjj rounds,mixed,1,38,False,False,44
free crossfit timer,mixed,1,39,False,False,44
no ads mental readiness,mixed,1,39,False,False,44
reaction training for beginners,mixed,1,39,False,False,44
interval timer,mixed,1,40,False,False,44
kickboxing rounds,mixed,1,40,False,False,44
no ads muay thai timer,mixed,1,41,False,False,44
interval timer for beginners,mixed,1,42,False,False,44
no ads bjj rounds,mixed,1,42,False,False,44
hiit timer for beginners,mixed,1,43,False,False,44
sparring prep,mixed,1,44,False,False,44
combat conditioning,mixed,1,46,False,False,44
hiit timer,mixed,1,47,False,False,44
boxing drills for beginners,mixed,1,48,False,False,44
free tactical timer,mixed,1,49,False,False,44
boxing drills,mixed,1,50,False,False,44
crossfit timer for beginners,mixed,1,50,False,False,44
